team_id,team_name,fifa_rank,elo_rating,confederation
algeria,Algeria,,1840.241,
angola,Angola,,1551.889,
argentina,Argentina,,2082.59,
australia,Australia,,1802.62,
austria,Austria,,1832.875,
belgium,Belgium,,1882.492,
bolivia,Bolivia,,1639.736,
bosnia-and-herzegovina,Bosnia and Herzegovina,,1627.778,
brazil,Brazil,,1971.426,
bulgaria,Bulgaria,,1553.696,
cameroon,Cameroon,,1653.991,
canada,Canada,,1801.287,
chile,Chile,,1757.219,
china,China,,1538.631,
chinese-taipei,Chinese Taipei,,,
colombia,Colombia,,1958.417,
costa-rica,Costa Rica,,1686.08,
croatia,Croatia,,1883.201,
cuba,Cuba,,1373.054,
czech-republic,Czech Republic,,1747.478,
czechoslovakia,Czechoslovakia,,1714.345,
denmark,Denmark,,1839.143,
dutch-east-indies,Dutch East Indies,,,
east-germany,East Germany,,,
ecuador,Ecuador,,1880.328,
egypt,Egypt,,1771.688,
el-salvador,El Salvador,,1492.257,
england,England,,1941.502,
equatorial-guinea,Equatorial Guinea,,1462.219,
france,France,,2011.728,
germany,Germany,,1925.887,
ghana,Ghana,,1574.292,
greece,Greece,,1743.568,
haiti,Haiti,,1623.935,
honduras,Honduras,,1630.98,
hungary,Hungary,,1742.418,
iceland,Iceland,,1588.595,
iran,Iran,,1826.582,
iraq,Iraq,,1698.869,
israel,Israel,,1653.37,
italy,Italy,,1881.233,
ivory-coast,Ivory Coast,,1790.153,
jamaica,Jamaica,,1628.77,
japan,Japan,,1911.864,
kuwait,Kuwait,,1498.017,
mexico,Mexico,,1902.535,
morocco,Morocco,,1911.487,
netherlands,Netherlands,,1922.259,
new-zealand,New Zealand,,1623.593,
nigeria,Nigeria,,1763.451,
north-korea,North Korea,,1506.609,
northern-ireland,Northern Ireland,,1612.251,
norway,Norway,,1859.744,
panama,Panama,,1708.887,
paraguay,Paraguay,,1824.423,
peru,Peru,,1708.726,
poland,Poland,,1742.219,
portugal,Portugal,,1953.627,
qatar,Qatar,,1548.699,
republic-of-ireland,Republic of Ireland,,1693.035,
romania,Romania,,1637.906,
russia,Russia,,1775.03,
saudi-arabia,Saudi Arabia,,1653.411,
scotland,Scotland,,1743.722,
senegal,Senegal,,1804.759,
serbia,Serbia,,1772.148,
serbia-and-montenegro,Serbia and Montenegro,,,
slovakia,Slovakia,,1685.708,
slovenia,Slovenia,,1734.586,
south-africa,South Africa,,1649.068,
south-korea,South Korea,,1812.985,
soviet-union,Soviet Union,,,
spain,Spain,,2046.681,
sweden,Sweden,,1740.18,
switzerland,Switzerland,,1863.672,
thailand,Thailand,,1527.455,
togo,Togo,,1473.194,
trinidad-and-tobago,Trinidad and Tobago,,1540.87,
tunisia,Tunisia,,1670.87,
turkey,Turkey,,1853.958,
ukraine,Ukraine,,1780.988,
united-arab-emirates,United Arab Emirates,,1612.152,
united-states,United States,,1782.796,
uruguay,Uruguay,,1854.267,
wales,Wales,,1703.408,
west-germany,West Germany,,,
yugoslavia,Yugoslavia,,1775.024,
zaire,Zaire,,,
